simulation,t_stat_size,t_stat_value,coef_size,coef_value
100,1.6276390521042086,2.6132353202799847,0.18001508941625557,0.21271300443371802
101,1.6297049873895877,2.611202590951753,0.18022794903115924,0.21255746167754175
102,1.6288531777760853,2.6134242100418636,0.18014792888488407,0.212731123093335
103,1.6288223568034559,2.6118735539102524,0.18014278848519916,0.21261711103733782
104,1.6290549426070948,2.613553780692073,0.1801622315029654,0.21273718246190634
105,1.6294649991555652,2.6150609987750766,0.18021059653049698,0.2128704920057561
106,1.628274751084265,2.6121565421739428,0.1800751406058268,0.21263046577389175
107,1.6290728446972316,2.6144772177575497,0.1801644986924214,0.2128044224328133
108,1.6292565992577772,2.6138321975962104,0.1801870486143694,0.21278629389462594
109,1.6287937996023887,2.614110771791137,0.1801368573009319,0.21278607990534615
110,1.6272709101363148,2.612607102138105,0.17996719838758105,0.2126770417564016
111,1.6288879908395724,2.612733068838542,0.1801420942365086,0.21268957013048106
112,1.6293321823411886,2.613383791401853,0.18018637690761216,0.21274403029308583
113,1.6287459162715012,2.612150044078556,0.18012772128583796,0.21266232486091757
114,1.6284912692307953,2.611930877126977,0.18010046282188122,0.21260350393406643
115,1.6276616347155788,2.6143082490230682,0.18001322417640206,0.21281331566569456
116,1.6271907587907366,2.6136069249257328,0.17995822162928024,0.2127618284876191
117,1.6284868492335205,2.6112661898893808,0.18011118636758985,0.21256437645778023
118,1.6297204306094883,2.615321981814601,0.18023682619529402,0.21289594411956167
119,1.62833353652862,2.6124496292277946,0.1800912643509265,0.2126603073581982
120,1.6287879360852202,2.614485747069185,0.1801323607297762,0.21282288399440638
121,1.6287823680138958,2.612884273119547,0.18013042426051204,0.2127073762306553
122,1.6302619101913238,2.612442125844914,0.18029736031477933,0.21265812228423628
123,1.6269292713532508,2.6127255695038967,0.17992626767686654,0.2126907264551926
124,1.6283846531497868,2.611829982697814,0.18010206505883067,0.212614233521146
125,1.6291033583228407,2.613586502543754,0.1801764967877753,0.21273883962434326
126,1.6284950965204839,2.613470708483794,0.18010633557574846,0.21272722004894745
127,1.6282585994723138,2.6127927086148124,0.18007722887125976,0.2126756276628376
128,1.6265872107740635,2.6128012257342985,0.17988330925540577,0.21269596398253132
129,1.6273734964826898,2.613227873068204,0.17998245780588545,0.2127120929882789
130,1.6293591420903306,2.6134904164909614,0.1801976313213291,0.2127458173874587
131,1.6280038123333793,2.6129188622267083,0.18005037663344348,0.21269430781638038
132,1.629038686942328,2.6150856344059807,0.18016574145364037,0.21286771733674748
133,1.628845760440701,2.6153043767444477,0.18014823287583173,0.21287875430089775
134,1.62879562345067,2.6132745208970674,0.18013887628325911,0.2127178427515933
135,1.627988454848297,2.6144347153309075,0.18004800006822205,0.21282673058707077
136,1.6283002274446359,2.611520634902523,0.1800754250330196,0.21257067116706885
137,1.6291261773270875,2.6144249712203234,0.18016942131742028,0.2128123128943757
138,1.6282112576209387,2.6123008622797914,0.18006652010980229,0.2126518299061936
139,1.629943901043579,2.612676791684223,0.1802630465981615,0.21268590845820765
140,1.6293045152503622,2.613003957078876,0.18017832078560206,0.21270008335957752
141,1.628840096736361,2.6141142656186482,0.18014267292661268,0.21278533876898323
142,1.6290684927805346,2.6129004271978764,0.18016122000576698,0.21268916512670027
143,1.6281474968057752,2.6129929012605824,0.18006080485954923,0.21271038046364948
144,1.6287652198614202,2.6126156908453764,0.18013093305357963,0.21268779112029806
145,1.626540756559885,2.613722432003659,0.17989072518609794,0.2127722436998485
146,1.628038972018521,2.612893323150039,0.1800497516478135,0.2126953854740936
147,1.627137225118783,2.614053759866059,0.17994183359213078,0.21279254507257653
148,1.629422619110124,2.612531985172064,0.18020949039551923,0.21265623473756923
149,1.628661556033206,2.61186751892007,0.1801270546445658,0.2126032680885078
150,1.6282611144501606,2.6131083197101534,0.18007517871394105,0.2127144098641838
151,1.6300229272583937,2.614310703845661,0.18026282819457928,0.212802769192361
152,1.6275448774763406,2.6120786254409234,0.18000326432673958,0.2126283988062093
153,1.6291626964397328,2.612943434389957,0.18016269789702766,0.2127099368468613
154,1.627983806988275,2.6123687481741995,0.1800456959771715,0.2126467865659023
155,1.628995556489306,2.613092364637061,0.18014545764332018,0.21270542676779053
156,1.6280451056868914,2.6133491490838474,0.1800493595268942,0.212723499672723
157,1.6292723376246243,2.6126384621227268,0.18018373637363877,0.21266657926860372
158,1.6285173831757447,2.613746428074942,0.18010777756007368,0.2127600840918069
159,1.6291395877003005,2.6143996604626003,0.18016368100502805,0.21281467510716107
160,1.6298340275313743,2.6146627939600826,0.1802418342287124,0.21283508285315011
161,1.6281447802829696,2.6139486426989267,0.18005295759605874,0.21278021840114303
162,1.629056478293745,2.611698649841496,0.18016755487185834,0.21258780439008254
163,1.6281550713506399,2.6137899597670167,0.1800680873881232,0.2127843481474202
164,1.626979630686444,2.613788684658935,0.17993333877221218,0.21274891884674563
165,1.6303487264323866,2.612452645979365,0.18030483194565322,0.21265342030640855
166,1.6280783180625344,2.612489788843995,0.18005580912777674,0.2126517073023222
167,1.6288329227769374,2.6138707861728183,0.18014161005960153,0.21276671328065347
168,1.6301153920671825,2.614379851867838,0.18027414999001684,0.21281747304106882
169,1.6276479563260504,2.6134086263394734,0.18000768775255843,0.2127297172698347
170,1.6280804395115724,2.61331142356378,0.18006135036327858,0.21272188888890045
171,1.6289616810213603,2.6138621629569636,0.18015467789085843,0.21278391251335538
172,1.6285685699800883,2.6130730027267344,0.18011052345038375,0.21271673160806376
173,1.6289074892760056,2.613881591267889,0.18015249592575536,0.21276295474820267
174,1.6276841951314156,2.615480521248371,0.18000852006243853,0.21289653435805153
175,1.6298170711291882,2.614396853534706,0.1802585622948645,0.2128142782574512
176,1.6278763022425347,2.6145711810778955,0.18003512353518455,0.21283669880310838
177,1.629188624043661,2.6160427822024097,0.1801788471110113,0.21293584685192107
178,1.6282117509427552,2.613418781496927,0.18007343481768484,0.2127387958686672
179,1.6292030862134883,2.6130065843226107,0.180174965514586,0.21270640884747632
180,1.6296076609399754,2.6138961236767444,0.1802369551524089,0.21279292881586093
181,1.6292316366658952,2.6152059172841815,0.18018560925266666,0.2128837957573647
182,1.6277378213690552,2.6129527837274695,0.1800207246330622,0.21270513870480376
183,1.628890118353144,2.6154618964189535,0.18014257114293014,0.21290644273324338
184,1.6305047303555802,2.6125916596309238,0.18032500223183467,0.2126853528397863
185,1.629710110393748,2.611504694783635,0.18023673785357633,0.21257455459230623
186,1.628043496729239,2.6148111392772218,0.18005687361845885,0.2128560566266958
187,1.6270695810288565,2.614989329149651,0.17995203808856453,0.2128599064939992
188,1.6284148359834558,2.613838568743938,0.18008920113861865,0.21277972116731544
189,1.6283151328674366,2.612910754506384,0.18008485359446846,0.21270129190563578
190,1.627826366722827,2.615931116506341,0.18003578826199929,0.21293117656133506
191,1.6279985123784873,2.614121340275777,0.18004467576290226,0.21279098716573294
192,1.6305681776331875,2.614687982728654,0.18033527497960694,0.21284781787185175
193,1.6277158546477182,2.61210413384376,0.18002813726465836,0.21261084419116713
194,1.6282327526845608,2.6116508685160174,0.18007247508893187,0.21257664131897755
195,1.629257184895285,2.6136918090610144,0.18018552530167495,0.2127332106981032
196,1.6288291668219255,2.6138743105735176,0.18014671127367526,0.21277145060882463
197,1.628756441118991,2.6133702832334764,0.18013814112299575,0.21273597222198828
198,1.6294087050751394,2.6141164853394905,0.1801969294606085,0.21279612031055228
199,1.6281035796276495,2.6130378666551133,0.18005958544154368,0.2127149851325955
200,1.6290947036875254,2.614053750002177,0.18016987590451997,0.21279651222060886
201,1.629104723296383,2.6150590510004137,0.18017143590612608,0.21286009538761855
202,1.6300788098747778,2.6138322717581564,0.1802786674721082,0.2127778783107575
203,1.6294257548021516,2.6130264471343323,0.18020677591099052,0.2126994654102557
204,1.630296662936933,2.6128703977841576,0.18030379037094052,0.2126999181928942
205,1.6288991772144326,2.616512724877516,0.18013962815777634,0.21297068173243766
206,1.626734197560128,2.6133685120810304,0.17990337049292351,0.21273121410487397
207,1.6291422645638884,2.6126608779806144,0.18017214504792617,0.2126817535064632
208,1.6285193735280854,2.6117053550559253,0.1801104305413268,0.21260130663795404
209,1.6279143286577136,2.612397589757823,0.18003588943244342,0.2126469824026061
210,1.6307444410406264,2.6138635047603374,0.1803478429300872,0.2127658184464449
211,1.6284830016723852,2.6134709710954858,0.1800983669673338,0.2127350906589135
212,1.6286690936647317,2.6124112298769524,0.18012342331451972,0.21266785172173452
213,1.6267317311821068,2.6136574573587437,0.1799116488038486,0.21275115019369734
214,1.6280971345911495,2.612757156112801,0.1800562919060149,0.21268419512892994
215,1.6288380716791397,2.6117322395991387,0.18014383644017284,0.21260259211899232
216,1.6292612100361052,2.6146252245431807,0.18019007319859728,0.21284442496402128
217,1.6288613942083263,2.6134910891522143,0.1801411514129461,0.21274852105623487
218,1.6288260705813429,2.612725098307186,0.18013313609365614,0.2126797320207966
219,1.6288622892435596,2.614620675879817,0.1801426097667071,0.21283321362967986
220,1.6288570342543522,2.6123195887163826,0.18015022583868592,0.21264547533144437
221,1.628746781549818,2.6155002953379967,0.18013249278073834,0.21289862509337912
222,1.628503885224497,2.613270941994542,0.18011195079427475,0.21273799356015613
223,1.6285511704897802,2.6128959490142853,0.18010808810391318,0.21270911196286058
224,1.6284144551721695,2.615260031587001,0.18009616528945036,0.2128902982297396
225,1.6312274173508554,2.6126605692046763,0.18040304170703433,0.21267898474320757
226,1.629039796462252,2.613128338388482,0.1801610270596906,0.21271099773334048
227,1.6294564621407275,2.6130785483169907,0.1802060522457861,0.21271221587665598
228,1.6286784950589277,2.6138480933356507,0.18012253789771232,0.21276583947796912
229,1.629555200692145,2.6132258732779645,0.18022305378764228,0.21272581872868634
230,1.6297501145691486,2.61257940643012,0.1802424404905573,0.212680673983308
231,1.6282780075716272,2.614208068156451,0.180069901655715,0.21280978238659415
232,1.6291589179760875,2.6139555594536548,0.18016924046439964,0.2127786162266354
233,1.629072609861486,2.6131961336252774,0.18016088041744413,0.21272088870879585
234,1.630649247123544,2.6136655127575126,0.18033722334780009,0.21275141682790139
235,1.6289951823046873,2.6136360132583727,0.18016552431605587,0.21274296340962762
236,1.6299736886327851,2.6144206592320236,0.1802625345529895,0.21281278799333048
237,1.629531231363814,2.613661223923494,0.1802165734658944,0.2127409214654301
238,1.6266923445283938,2.612825840625703,0.17990491885784674,0.21268059998570915
239,1.6281425781055394,2.6142504313759565,0.18006348141696818,0.21280295958540157
240,1.628317355952777,2.612702229507073,0.180079681807174,0.21267993163915394
241,1.6284533532698207,2.6139314308586883,0.18010063283974811,0.2127681458761667
242,1.6294083413367422,2.6129463651930553,0.18020188744586313,0.21269644990107725
